"","year","location","num_of_records","fetal_deathrate","fetaldeath_staterate","fetal_deaths","infant_deathrate","infantdeath_staterate","infant_deaths","live_births"
"102",1992,"Lincoln",1,0,5,0,0,6,0,89
"103",1992,"Mason",1,NA,5,NA,NA,6,NA,506
"104",1992,"Okanogan",1,NA,5,NA,NA,6,NA,534
"105",1992,"Pacific",1,NA,5,NA,NA,6,NA,222
"106",1992,"Pend Oreille",1,NA,5,NA,0,6,0,141
"107",1992,"Pierce",1,6,5,64,7,6,80,10398
"108",1992,"San Juan",1,NA,5,NA,NA,6,NA,114
"109",1992,"Skagit",1,NA,5,NA,NA,6,NA,1338
"110",1992,"Skamania",1,0,5,0,0,6,0,83
"111",1992,"Snohomish",1,3,5,30,4,6,40,8128
"112",1992,"Spokane",1,7,5,40,6,6,36,5595
"113",1992,"Stevens",1,NA,5,NA,NA,6,NA,442
"114",1992,"Thurston",1,NA,5,16,NA,6,10,2482
"115",1992,"Wahkiakum",1,NA,5,NA,0,6,0,27
"116",1992,"Walla Walla",1,NA,5,NA,NA,6,NA,743
"117",1992,"Whatcom",1,NA,5,14,NA,6,11,1840
"118",1992,"Whitman",1,NA,5,NA,NA,6,NA,391
"119",1992,"Yakima",1,6,5,26,9,6,41,4326
"120",1993,"State Total",1,5,5,390,6,6,495,78771
"121",1993,"Adams",1,NA,5,NA,NA,6,NA,339
"122",1993,"Asotin",1,0,5,0,NA,6,NA,255
"123",1993,"Benton",1,NA,5,NA,NA,6,16,1976
"124",1993,"Chelan",1,NA,5,NA,NA,6,NA,938
"125",1993,"Clallam",1,NA,5,NA,NA,6,NA,686
"126",1993,"Clark",1,NA,5,11,5,6,22,4132
"127",1993,"Columbia",1,0,5,0,0,6,0,47
"128",1993,"Cowlitz",1,NA,5,NA,NA,6,10,1232
"129",1993,"Douglas",1,NA,5,NA,0,6,0,443
"130",1993,"Ferry",1,NA,5,NA,NA,6,NA,79
"131",1993,"Franklin",1,NA,5,NA,NA,6,NA,965
"132",1993,"Garfield",1,0,5,0,0,6,0,21
"133",1993,"Grant",1,NA,5,NA,NA,6,NA,1161
"134",1993,"Grays Harbor",1,NA,5,NA,NA,6,NA,861
"135",1993,"Island",1,NA,5,NA,NA,6,NA,1028
"136",1993,"Jefferson",1,NA,5,NA,NA,6,NA,236
"137",1993,"King",1,5,5,125,5,6,123,22355
"138",1993,"Kitsap",1,5,5,18,5,6,17,3101
"139",1993,"Kittitas",1,NA,5,NA,NA,6,NA,305
"140",1993,"Klickitat",1,NA,5,NA,NA,6,NA,239
"141",1993,"Lewis",1,NA,5,NA,NA,6,NA,815
"142",1993,"Lincoln",1,0,5,0,0,6,0,117
"143",1993,"Mason",1,NA,5,NA,NA,6,NA,500
"144",1993,"Okanogan",1,NA,5,NA,NA,6,NA,588
"145",1993,"Pacific",1,NA,5,NA,NA,6,NA,239
"146",1993,"Pend Oreille",1,0,5,0,NA,6,NA,140
"147",1993,"Pierce",1,4,5,49,7,6,74,10228
"148",1993,"San Juan",1,NA,5,NA,0,6,0,103
"149",1993,"Skagit",1,NA,5,NA,NA,6,NA,1255
"150",1993,"Skamania",1,0,5,0,NA,6,NA,95
"151",1993,"Snohomish",1,3,5,26,5,6,47,8062
"152",1993,"Spokane",1,5,5,30,7,6,44,5781
"153",1993,"Stevens",1,NA,5,NA,NA,6,NA,414
"154",1993,"Thurston",1,7,5,18,NA,6,10,2467
"155",1993,"Wahkiakum",1,0,5,0,0,6,0,32
"156",1993,"Walla Walla",1,NA,5,NA,NA,6,NA,731
"157",1993,"Whatcom",1,NA,5,10,NA,6,11,1986
"158",1993,"Whitman",1,NA,5,NA,NA,6,NA,444
"159",1993,"Yakima",1,8,5,37,8,6,37,4375
"160",1994,"State Total",1,5,5,438,6,6,478,77368
"161",1994,"Adams",1,NA,5,NA,NA,6,NA,293
"162",1994,"Asotin",1,NA,5,NA,NA,6,NA,238
"163",1994,"Benton",1,NA,5,10,NA,6,13,1952
"164",1994,"Chelan",1,NA,5,NA,NA,6,NA,1009
