StatOverview_Full_Data_data,,,,,,,,,,,,,,,
Year,FDAnnotate,FDSuppress,Geography,ID Annotate,ID Rate Lower CI,ID Rate Upper CI,ID Suppress,Number of Records,Fetal Death Rate,Fetal Death State Rate,Fetal Deaths,Infant Death Rate,Infant Death State Rate,Infant Deaths,Live Births
1992,,,State Total,,6.2,7.3,,1,5.6,5.6,446,6.8,6.8,539,79897
1992,NR,**,Adams,NR,,,**,1,,5.6,,,6.8,,291
1992,NR,**,Asotin,,,,,1,,5.6,,0,6.8,0,284
1992,NR,,Benton,NR,,,,1,,5.6,10,,6.8,11,1932
1992,NR,**,Chelan,NR,,,**,1,,5.6,,,6.8,,998
1992,NR,**,Clallam,NR,,,**,1,,5.6,,,6.8,,665
1992,NR,**,Clark,,5.4,11.2,,1,,5.6,,8,6.8,32,4025
1992,,,Columbia,,,,,1,0,5.6,0,0,6.8,0,50
1992,NR,**,Cowlitz,NR,,,,1,,5.6,,,6.8,12,1261
1992,NR,**,Douglas,NR,,,**,1,,5.6,,,6.8,,414
1992,NR,**,Ferry,NR,,,**,1,,5.6,,,6.8,,90
1992,NR,**,Franklin,NR,,,,1,,5.6,,,6.8,10,972
1992,,,Garfield,,,,,1,0,5.6,0,0,6.8,0,20
1992,NR,**,Grant,NR,,,**,1,,5.6,,,6.8,,1115
1992,NR,**,Grays Harbor,NR,,,**,1,,5.6,,,6.8,,938
1992,NR,**,Island,NR,,,**,1,,5.6,,,6.8,,1077
1992,,,Jefferson,NR,,,**,1,0,5.6,0,,6.8,,233
1992,,,King,,5,7.1,,1,5.3,5.6,124,6,6.8,139,23188
1992,,,Kitsap,,4.3,10,,1,6.2,5.6,22,6.7,6.8,24,3568
1992,NR,**,Kittitas,NR,,,**,1,,5.6,,,6.8,,309
1992,,,Klickitat,NR,,,**,1,0,5.6,0,,6.8,,242
1992,NR,**,Lewis,NR,,,**,1,,5.6,,,6.8,,826
1992,,,Lincoln,,,,,1,0,5.6,0,0,6.8,0,89
